category,price,quantity,payment_method,device_type,channel,order_year,order_month,order_day,order_dayofweek,order_hour,shipping_year,shipping_month,shipping_day,shipping_time,cluster
Home,191.53,5,Google Pay,Desktop,Email,2024,4,21,6,14,2024,4,23,2,1
Electronics,79.03,6,Debit Card,Desktop,Email,2024,4,21,6,14,2024,4,27,6,1
Electronics,339.78,1,Credit Card,Desktop,Email,2024,4,21,6,14,2024,4,26,5,1
Clothing,179.93,2,Apple Pay,Mobile,Paid Search,2024,4,21,6,14,2024,4,26,5,1
Beauty,389.15,3,Google Pay,Mobile,Paid Search,2024,4,21,6,14,2024,4,25,4,1
Books,498.02,1,PayPal,Desktop,Paid Search,2024,4,21,6,14,2024,4,25,4,1
Electronics,133.66,1,Credit Card,Mobile,Email,2024,4,21,6,14,2024,4,23,2,1
Books,385.3,2,Google Pay,Desktop,Organic,2024,4,21,6,14,2024,4,25,4,1
Home,144.89,6,PayPal,Mobile,Email,2024,4,21,6,14,2024,4,23,2,1
Home,484.43,4,Debit Card,Desktop,Paid Search,2024,4,21,6,14,2024,4,22,1,1
Books,417.66,2,PayPal,Tablet,Email,2024,4,21,6,14,2024,4,23,2,1
Electronics,195.31,3,Apple Pay,Mobile,Social,2024,4,21,6,14,2024,4,25,4,1
Toys,73.35,2,PayPal,Mobile,Social,2024,4,21,6,14,2024,4,22,1,1
Electronics,459.02,2,PayPal,Desktop,Email,2024,4,21,6,14,2024,4,28,7,1
Electronics,106.85,1,Credit Card,Mobile,Social,2024,4,21,6,14,2024,4,23,2,1
Electronics,315.37,3,Apple Pay,Desktop,Organic,2024,4,21,6,14,2024,4,25,4,1
Home,276.18,3,Debit Card,Desktop,Email,2024,4,21,6,14,2024,4,23,2,1
Home,155.57,1,PayPal,Tablet,Paid Search,2024,4,21,6,14,2024,4,22,1,1
Electronics,288.41,3,Apple Pay,Tablet,Paid Search,2024,4,21,6,14,2024,4,22,1,1
Books,286.85,2,Credit Card,Tablet,Social,2024,4,21,6,14,2024,4,22,1,1
Toys,422.03,3,Apple Pay,Mobile,Email,2024,4,21,6,14,2024,4,23,2,1
Clothing,241.83,4,Credit Card,Tablet,Paid Search,2024,4,21,6,14,2024,4,24,3,1
Home,362.08,2,Apple Pay,Tablet,Social,2024,4,21,6,14,2024,4,22,1,1
Electronics,496.82,2,Apple Pay,Mobile,Organic,2024,4,21,6,14,2024,4,27,6,1
Books,116.35,1,Google Pay,Desktop,Paid Search,2024,4,21,6,14,2024,4,27,6,1
Electronics,263.78,2,Apple Pay,Desktop,Social,2024,4,21,6,14,2024,4,25,4,1
Toys,361.63,3,PayPal,Tablet,Social,2024,4,21,6,14,2024,4,28,7,1
Home,253.4,4,Credit Card,Desktop,Social,2024,4,21,6,14,2024,4,27,6,1
Clothing,313.22,1,Credit Card,Tablet,Social,2024,4,21,6,14,2024,4,24,3,1
Beauty,157.61,3,Apple Pay,Desktop,Email,2024,4,22,0,14,2024,4,26,4,1
Clothing,224.16,1,Debit Card,Mobile,Paid Search,2024,4,22,0,14,2024,4,26,4,1
Clothing,189.2,1,PayPal,Desktop,Email,2024,4,22,0,14,2024,4,27,5,1
Home,198.57,4,PayPal,Mobile,Paid Search,2024,4,22,0,14,2024,4,28,6,1
Books,159.96,4,Apple Pay,Desktop,Email,2024,4,22,0,14,2024,4,25,3,1
Toys,387.29,2,PayPal,Desktop,Social,2024,4,22,0,14,2024,4,26,4,1
Electronics,269.95,3,Credit Card,Mobile,Organic,2024,4,22,0,14,2024,4,25,3,1
Clothing,278.41,2,Apple Pay,Tablet,Social,2024,4,22,0,14,2024,4,27,5,1
Clothing,437.21,1,Google Pay,Mobile,Social,2024,4,22,0,14,2024,4,28,6,1
Books,150.49,2,PayPal,Desktop,Email,2024,4,22,0,14,2024,4,27,5,1
Toys,451.94,1,Debit Card,Desktop,Social,2024,4,22,0,14,2024,4,24,2,1
Clothing,201.22,1,PayPal,Desktop,Email,2024,4,22,0,14,2024,4,23,1,1
Home,375.78,2,Apple Pay,Mobile,Email,2024,4,22,0,14,2024,4,29,7,1
Beauty,105.49,1,Credit Card,Desktop,Paid Search,2024,4,22,0,14,2024,4,26,4,1
Home,311.83,1,Apple Pay,Mobile,Paid Search,2024,4,22,0,14,2024,4,28,6,1
Clothing,164.69,1,Credit Card,Tablet,Social,2024,4,22,0,14,2024,4,29,7,1
Books,341.38,3,Debit Card,Tablet,Social,2024,4,22,0,14,2024,4,24,2,1
Electronics,474.66,1,Credit Card,Desktop,Organic,2024,4,22,0,14,2024,4,24,2,1
Beauty,219.4,1,Debit Card,Mobile,Organic,2024,4,22,0,14,2024,4,25,3,1
Toys,39.43,1,Apple Pay,Desktop,Organic,2024,4,22,0,14,2024,4,24,2,1
Books,365.79,3,Debit Card,Mobile,Paid Search,2024,4,22,0,14,2024,4,27,5,1
Books,153.26,1,Apple Pay,Tablet,Organic,2024,4,22,0,14,2024,4,26,4,1
Electronics,71.87,3,Credit Card,Mobile,Organic,2024,4,22,0,14,2024,4,29,7,1
Clothing,162.69,1,Debit Card,Tablet,Paid Search,2024,4,22,0,14,2024,4,24,2,1
Electronics,490.26,1,PayPal,Mobile,Email,2024,4,22,0,14,2024,4,26,4,1
Books,93.74,4,PayPal,Desktop,Paid Search,2024,4,22,0,14,2024,4,25,3,1
Books,197.88,1,Debit Card,Tablet,Email,2024,4,22,0,14,2024,4,25,3,1
Books,24.96,3,Apple Pay,Desktop,Social,2024,4,22,0,14,2024,4,25,3,1
Books,66.04,3,Apple Pay,Tablet,Email,2024,4,22,0,14,2024,4,27,5,1
Clothing,164.94,2,PayPal,Desktop,Email,2024,4,22,0,14,2024,4,29,7,1
Clothing,23.34,2,Google Pay,Tablet,Social,2024,4,22,0,14,2024,4,27,5,1
Electronics,225.2,3,PayPal,Tablet,Paid Search,2024,4,22,0,14,2024,4,29,7,1
Beauty,138.59,3,Debit Card,Tablet,Social,2024,4,22,0,14,2024,4,26,4,1
Electronics,135.03,4,Debit Card,Tablet,Email,2024,4,22,0,14,2024,4,24,2,1
Books,91.87,5,Google Pay,Desktop,Organic,2024,4,22,0,14,2024,4,28,6,1
Toys,152.32,1,Debit Card,Tablet,Social,2024,4,22,0,14,2024,4,27,5,1
Home,329.5,1,Apple Pay,Tablet,Email,2024,4,22,0,14,2024,4,26,4,1
Books,196.53,4,Google Pay,Tablet,Paid Search,2024,4,22,0,14,2024,4,27,5,1
Books,386.49,2,Apple Pay,Desktop,Social,2024,4,22,0,14,2024,4,25,3,1
Beauty,56.32,1,Apple Pay,Tablet,Organic,2024,4,23,1,14,2024,4,29,6,1
Electronics,63.13,1,Apple Pay,Tablet,Social,2024,4,23,1,14,2024,4,27,4,1
Clothing,51.48,2,Apple Pay,Desktop,Social,2024,4,23,1,14,2024,4,29,6,1
Books,391.54,2,Google Pay,Desktop,Social,2024,4,23,1,14,2024,4,27,4,1
Electronics,259.36,1,Debit Card,Mobile,Social,2024,4,23,1,14,2024,4,27,4,1
Books,378.27,3,Apple Pay,Desktop,Paid Search,2024,4,23,1,14,2024,4,29,6,1
Home,107.48,3,PayPal,Desktop,Social,2024,4,23,1,14,2024,4,26,3,1
Electronics,499.9,2,Debit Card,Tablet,Organic,2024,4,23,1,14,2024,4,30,7,1
Clothing,297.48,1,PayPal,Mobile,Organic,2024,4,23,1,14,2024,4,30,7,1
Beauty,245.69,3,PayPal,Tablet,Paid Search,2024,4,23,1,14,2024,4,27,4,1
Books,98.14,1,Credit Card,Desktop,Social,2024,4,23,1,14,2024,4,30,7,1
Electronics,49.49,2,Debit Card,Tablet,Email,2024,4,23,1,14,2024,4,27,4,1
Books,45.26,1,PayPal,Mobile,Paid Search,2024,4,23,1,14,2024,4,27,4,1
Beauty,67.61,2,Apple Pay,Desktop,Organic,2024,4,23,1,14,2024,4,27,4,1
Clothing,471.53,2,Credit Card,Tablet,Organic,2024,4,23,1,14,2024,4,26,3,1
Home,60.33,4,Apple Pay,Tablet,Email,2024,4,23,1,14,2024,4,27,4,1
Clothing,330.9,2,Credit Card,Desktop,Email,2024,4,23,1,14,2024,4,25,2,1
Electronics,143.32,2,Credit Card,Desktop,Social,2024,4,23,1,14,2024,4,25,2,1
Home,494.51,1,Credit Card,Mobile,Paid Search,2024,4,23,1,14,2024,4,30,7,1
Beauty,203.22,2,Debit Card,Desktop,Email,2024,4,23,1,14,2024,4,24,1,1
Home,284.78,3,Google Pay,Mobile,Organic,2024,4,23,1,14,2024,4,28,5,1
Books,79.93,3,Google Pay,Desktop,Email,2024,4,23,1,14,2024,4,30,7,1
Books,289.25,3,Credit Card,Mobile,Paid Search,2024,4,23,1,14,2024,4,24,1,1
Beauty,216.6,1,Google Pay,Tablet,Email,2024,4,24,2,14,2024,4,28,4,1
Toys,135.83,2,Debit Card,Mobile,Social,2024,4,24,2,14,2024,4,25,1,1
Electronics,15.13,1,Google Pay,Mobile,Email,2024,4,24,2,14,2024,4,28,4,1
Beauty,52.29,2,Apple Pay,Desktop,Email,2024,4,24,2,14,2024,4,27,3,1
Beauty,169.93,3,Credit Card,Desktop,Organic,2024,4,24,2,14,2024,5,1,7,0
Books,316.19,1,Credit Card,Mobile,Paid Search,2024,4,24,2,14,2024,4,27,3,1
Beauty,363.98,3,PayPal,Desktop,Paid Search,2024,4,24,2,14,2024,5,1,7,0
Beauty,120.26,1,PayPal,Desktop,Paid Search,2024,4,24,2,14,2024,4,27,3,1
Toys,292.71,1,Credit Card,Mobile,Email,2024,4,24,2,14,2024,4,26,2,1
Toys,423.75,1,Debit Card,Mobile,Paid Search,2024,4,24,2,14,2024,4,25,1,1
Clothing,436.52,1,PayPal,Mobile,Social,2024,4,24,2,14,2024,4,25,1,1
Electronics,429.13,5,Google Pay,Mobile,Organic,2024,4,24,2,14,2024,5,1,7,0
Electronics,244.56,3,Apple Pay,Tablet,Email,2024,4,24,2,14,2024,4,26,2,1
Home,89.94,4,Debit Card,Tablet,Email,2024,4,24,2,14,2024,4,26,2,1
Clothing,332.58,1,Apple Pay,Tablet,Social,2024,4,24,2,14,2024,5,1,7,0
Beauty,314.69,1,Apple Pay,Mobile,Email,2024,4,24,2,14,2024,4,28,4,1
Toys,296.71,5,Apple Pay,Desktop,Social,2024,4,24,2,14,2024,4,27,3,1
Electronics,359.67,1,Apple Pay,Tablet,Organic,2024,4,24,2,14,2024,4,30,6,1
Clothing,474.62,1,Credit Card,Desktop,Paid Search,2024,4,24,2,14,2024,5,1,7,0
Clothing,408.76,4,Debit Card,Mobile,Email,2024,4,24,2,14,2024,4,28,4,1
Books,394.99,2,Debit Card,Desktop,Email,2024,4,24,2,14,2024,4,25,1,1
Home,334.74,3,PayPal,Mobile,Email,2024,4,24,2,14,2024,4,30,6,1
Books,374.04,1,Credit Card,Tablet,Social,2024,4,24,2,14,2024,4,27,3,1
Home,126.51,1,Google Pay,Desktop,Email,2024,4,24,2,14,2024,4,28,4,1
Electronics,209.54,2,Google Pay,Desktop,Social,2024,4,24,2,14,2024,4,28,4,1
Beauty,383.97,3,PayPal,Tablet,Paid Search,2024,4,24,2,14,2024,4,30,6,1
Home,211.49,4,Google Pay,Mobile,Social,2024,4,24,2,14,2024,4,25,1,1
Books,96.12,2,PayPal,Mobile,Organic,2024,4,24,2,14,2024,4,26,2,1
Books,79.22,2,PayPal,Tablet,Paid Search,2024,4,24,2,14,2024,4,28,4,1
Electronics,405.57,1,PayPal,Mobile,Email,2024,4,25,3,14,2024,5,2,7,0
Books,429.6,4,Google Pay,Desktop,Paid Search,2024,4,25,3,14,2024,5,1,6,0
Home,337.61,2,Apple Pay,Tablet,Paid Search,2024,4,25,3,14,2024,5,1,6,0
Electronics,151.11,4,Credit Card,Mobile,Email,2024,4,25,3,14,2024,5,1,6,0
Home,192.02,2,Apple Pay,Tablet,Email,2024,4,25,3,14,2024,4,26,1,1
Electronics,74.59,1,Apple Pay,Desktop,Email,2024,4,25,3,14,2024,5,1,6,0
Books,342.64,4,PayPal,Tablet,Organic,2024,4,25,3,14,2024,4,29,4,1
Toys,169.93,1,Debit Card,Mobile,Email,2024,4,25,3,14,2024,5,2,7,0
Home,200.68,3,PayPal,Desktop,Paid Search,2024,4,25,3,14,2024,4,27,2,1
Clothing,331.34,1,Credit Card,Mobile,Organic,2024,4,25,3,14,2024,4,29,4,1
Toys,289.34,3,Credit Card,Mobile,Email,2024,4,25,3,14,2024,4,30,5,1
Clothing,6.49,3,PayPal,Desktop,Social,2024,4,25,3,14,2024,4,29,4,1
Beauty,139.81,4,Google Pay,Desktop,Social,2024,4,25,3,14,2024,5,2,7,0
Home,229.5,1,PayPal,Desktop,Email,2024,4,25,3,14,2024,5,1,6,0
Books,492.39,1,Apple Pay,Mobile,Paid Search,2024,4,25,3,14,2024,4,30,5,1
Home,131.34,1,Apple Pay,Desktop,Paid Search,2024,4,25,3,14,2024,5,2,7,0
Books,270.33,2,Credit Card,Mobile,Email,2024,4,25,3,14,2024,4,30,5,1
Electronics,122.03,1,Google Pay,Tablet,Organic,2024,4,25,3,14,2024,4,30,5,1
Toys,45.47,5,Apple Pay,Tablet,Paid Search,2024,4,25,3,14,2024,4,30,5,1
Beauty,184.17,1,Apple Pay,Mobile,Paid Search,2024,4,25,3,14,2024,4,26,1,1
Electronics,153.96,1,Google Pay,Mobile,Organic,2024,4,25,3,14,2024,4,26,1,1
Beauty,105.16,1,PayPal,Tablet,Email,2024,4,25,3,14,2024,4,29,4,1
Books,306.34,3,Debit Card,Tablet,Organic,2024,4,25,3,14,2024,4,29,4,1
Home,157.24,1,Debit Card,Desktop,Social,2024,4,25,3,14,2024,5,1,6,0
Home,314.18,3,Credit Card,Tablet,Social,2024,4,25,3,14,2024,4,26,1,1
Books,157.39,1,Google Pay,Desktop,Paid Search,2024,4,25,3,14,2024,4,26,1,1
Home,300.91,2,Apple Pay,Mobile,Social,2024,4,25,3,14,2024,4,26,1,1
Electronics,243.79,2,Credit Card,Tablet,Email,2024,4,25,3,14,2024,4,27,2,1
Electronics,86.78,1,Credit Card,Desktop,Email,2024,4,25,3,14,2024,5,2,7,0
Toys,325.97,3,Apple Pay,Desktop,Email,2024,4,25,3,14,2024,4,28,3,1
Toys,11.92,2,Apple Pay,Desktop,Email,2024,4,25,3,14,2024,5,2,7,0
Home,336.74,5,Google Pay,Mobile,Social,2024,4,25,3,14,2024,5,2,7,0
Home,333.17,2,Credit Card,Mobile,Social,2024,4,26,4,14,2024,4,29,3,1
Beauty,278.81,1,Credit Card,Tablet,Organic,2024,4,26,4,14,2024,4,27,1,1
Books,207.01,1,Google Pay,Tablet,Paid Search,2024,4,26,4,14,2024,4,27,1,1
Clothing,123.74,2,Google Pay,Tablet,Email,2024,4,26,4,14,2024,4,28,2,1
Toys,333.32,1,Debit Card,Desktop,Social,2024,4,26,4,14,2024,4,28,2,1
Electronics,228.71,3,Apple Pay,Tablet,Social,2024,4,26,4,14,2024,5,2,6,0
Beauty,485.65,1,Credit Card,Desktop,Paid Search,2024,4,26,4,14,2024,4,28,2,1
Books,460.32,2,Credit Card,Desktop,Social,2024,4,26,4,14,2024,5,3,7,0
Clothing,223.43,2,Google Pay,Tablet,Email,2024,4,26,4,14,2024,4,28,2,1
Electronics,292.87,1,Debit Card,Desktop,Paid Search,2024,4,26,4,14,2024,4,27,1,1
Home,74.5,3,PayPal,Desktop,Paid Search,2024,4,26,4,14,2024,4,30,4,1
Books,423.24,7,Debit Card,Tablet,Paid Search,2024,4,26,4,14,2024,5,2,6,0
Electronics,51.86,1,Debit Card,Mobile,Social,2024,4,26,4,14,2024,4,29,3,1
Electronics,371.08,1,Credit Card,Tablet,Organic,2024,4,26,4,14,2024,4,29,3,1
Beauty,67.86,4,Debit Card,Mobile,Social,2024,4,26,4,14,2024,4,27,1,1
Books,305.13,2,Credit Card,Tablet,Paid Search,2024,4,26,4,14,2024,4,29,3,1
Electronics,39.26,3,Apple Pay,Mobile,Organic,2024,4,26,4,14,2024,5,1,5,0
Toys,242.05,2,PayPal,Mobile,Organic,2024,4,26,4,14,2024,5,2,6,0
Beauty,294.1,3,Google Pay,Tablet,Social,2024,4,26,4,14,2024,5,3,7,0
Beauty,362.04,1,Google Pay,Tablet,Paid Search,2024,4,26,4,14,2024,4,29,3,1
Beauty,409.43,1,Apple Pay,Mobile,Email,2024,4,26,4,14,2024,5,1,5,0
Clothing,76.09,1,Credit Card,Mobile,Social,2024,4,26,4,14,2024,5,1,5,0
Beauty,57.56,2,Google Pay,Tablet,Social,2024,4,26,4,14,2024,4,29,3,1
Home,321.27,2,Credit Card,Desktop,Organic,2024,4,26,4,14,2024,4,28,2,1
Beauty,157.93,1,Credit Card,Mobile,Organic,2024,4,26,4,14,2024,4,29,3,1
Clothing,420.56,4,Google Pay,Tablet,Social,2024,4,26,4,14,2024,4,29,3,1
Home,457.44,1,Google Pay,Mobile,Social,2024,4,26,4,14,2024,5,3,7,0
Beauty,476.47,3,Apple Pay,Desktop,Paid Search,2024,4,26,4,14,2024,4,28,2,1
Beauty,341.9,1,Apple Pay,Tablet,Social,2024,4,26,4,14,2024,4,28,2,1
Beauty,493.89,1,PayPal,Mobile,Email,2024,4,26,4,14,2024,5,1,5,0
Books,182.6,4,PayPal,Tablet,Social,2024,4,26,4,14,2024,4,27,1,1
Toys,266.0,4,Google Pay,Desktop,Social,2024,4,26,4,14,2024,4,29,3,1
Home,90.47,1,Debit Card,Mobile,Email,2024,4,26,4,14,2024,4,30,4,1
Books,35.88,1,Debit Card,Desktop,Email,2024,4,26,4,14,2024,5,2,6,0
Beauty,440.96,2,Debit Card,Mobile,Organic,2024,4,26,4,14,2024,4,29,3,1
Toys,108.04,2,Credit Card,Tablet,Email,2024,4,26,4,14,2024,5,3,7,0
Toys,478.78,1,PayPal,Mobile,Email,2024,4,26,4,14,2024,4,28,2,1
Clothing,147.89,2,Apple Pay,Tablet,Paid Search,2024,4,26,4,14,2024,4,29,3,1
Books,42.1,3,Apple Pay,Mobile,Social,2024,4,27,5,14,2024,5,2,5,0
Home,216.97,1,Debit Card,Tablet,Paid Search,2024,4,27,5,14,2024,5,1,4,0
Beauty,76.06,1,PayPal,Tablet,Social,2024,4,27,5,14,2024,5,4,7,0
Clothing,390.99,1,Credit Card,Tablet,Organic,2024,4,27,5,14,2024,5,4,7,0
Beauty,54.23,3,Debit Card,Mobile,Organic,2024,4,27,5,14,2024,4,29,2,1
Books,302.92,1,PayPal,Tablet,Organic,2024,4,27,5,14,2024,4,30,3,1
Clothing,170.03,2,PayPal,Tablet,Email,2024,4,27,5,14,2024,4,30,3,1
Toys,457.05,1,Apple Pay,Desktop,Organic,2024,4,27,5,14,2024,5,1,4,0
Beauty,217.89,3,Google Pay,Desktop,Email,2024,4,27,5,14,2024,4,28,1,1
Toys,68.96,2,Credit Card,Tablet,Paid Search,2024,4,27,5,14,2024,5,2,5,0
Electronics,123.32,1,Apple Pay,Tablet,Social,2024,4,27,5,14,2024,5,1,4,0
Home,44.28,1,Google Pay,Tablet,Organic,2024,4,27,5,14,2024,4,28,1,1
Home,86.73,2,Debit Card,Desktop,Email,2024,4,27,5,14,2024,5,4,7,0
Clothing,216.11,1,PayPal,Mobile,Organic,2024,4,27,5,14,2024,4,29,2,1
Beauty,493.99,3,Google Pay,Desktop,Email,2024,4,27,5,14,2024,5,1,4,0
Beauty,391.46,2,Credit Card,Desktop,Organic,2024,4,27,5,14,2024,5,4,7,0
Clothing,49.49,1,Debit Card,Tablet,Email,2024,4,27,5,14,2024,5,2,5,0
Beauty,51.69,1,Google Pay,Mobile,Social,2024,4,27,5,14,2024,4,28,1,1
Beauty,363.29,1,Debit Card,Tablet,Paid Search,2024,4,27,5,14,2024,5,1,4,0
Beauty,77.64,4,PayPal,Desktop,Social,2024,4,27,5,14,2024,5,1,4,0
Toys,192.58,2,Google Pay,Tablet,Social,2024,4,27,5,14,2024,5,1,4,0
Electronics,288.46,1,PayPal,Desktop,Social,2024,4,27,5,14,2024,5,4,7,0
Beauty,195.91,1,Debit Card,Desktop,Email,2024,4,27,5,14,2024,4,28,1,1
Books,198.63,3,Apple Pay,Mobile,Email,2024,4,27,5,14,2024,5,3,6,0
Beauty,266.54,3,Google Pay,Desktop,Paid Search,2024,4,27,5,14,2024,4,29,2,1
Clothing,282.51,1,Debit Card,Tablet,Paid Search,2024,4,27,5,14,2024,5,3,6,0
Home,294.12,1,Credit Card,Tablet,Social,2024,4,27,5,14,2024,5,1,4,0
Books,450.33,1,Google Pay,Mobile,Paid Search,2024,4,27,5,14,2024,4,30,3,1
Beauty,45.86,1,Google Pay,Tablet,Social,2024,4,27,5,14,2024,4,29,2,1
Clothing,362.3,1,Google Pay,Mobile,Social,2024,4,27,5,14,2024,5,4,7,0
Electronics,361.31,1,PayPal,Desktop,Paid Search,2024,4,27,5,14,2024,5,1,4,0
Toys,60.56,3,Credit Card,Tablet,Paid Search,2024,4,27,5,14,2024,4,30,3,1
Home,48.71,1,Debit Card,Mobile,Organic,2024,4,28,6,14,2024,4,30,2,1
Clothing,50.7,1,Credit Card,Mobile,Paid Search,2024,4,28,6,14,2024,5,5,7,0
Books,198.27,1,Apple Pay,Desktop,Social,2024,4,28,6,14,2024,5,3,5,0
Home,324.26,1,Apple Pay,Tablet,Organic,2024,4,28,6,14,2024,5,1,3,0
Beauty,382.89,1,Debit Card,Mobile,Social,2024,4,28,6,14,2024,5,1,3,0
Clothing,441.98,1,PayPal,Desktop,Organic,2024,4,28,6,14,2024,5,1,3,0
Electronics,313.99,2,Google Pay,Desktop,Social,2024,4,28,6,14,2024,4,29,1,1
Electronics,343.22,3,Google Pay,Tablet,Paid Search,2024,4,28,6,14,2024,4,30,2,1
Home,201.19,1,Apple Pay,Tablet,Email,2024,4,28,6,14,2024,5,1,3,0
Beauty,200.26,3,Credit Card,Desktop,Paid Search,2024,4,28,6,14,2024,5,2,4,0
Books,12.61,3,Debit Card,Mobile,Paid Search,2024,4,28,6,14,2024,5,5,7,0
Clothing,232.62,2,Apple Pay,Desktop,Email,2024,4,28,6,14,2024,4,29,1,1
Electronics,268.66,2,Credit Card,Mobile,Organic,2024,4,28,6,14,2024,5,4,6,0
Toys,286.93,4,PayPal,Tablet,Email,2024,4,28,6,14,2024,4,30,2,1
Clothing,65.62,1,Google Pay,Mobile,Email,2024,4,28,6,14,2024,5,2,4,0
Electronics,333.79,2,PayPal,Tablet,Email,2024,4,28,6,14,2024,4,30,2,1
Home,302.6,1,Debit Card,Desktop,Email,2024,4,28,6,14,2024,4,30,2,1
Home,131.84,4,Google Pay,Desktop,Email,2024,4,28,6,14,2024,4,30,2,1
Books,247.55,2,Credit Card,Tablet,Email,2024,4,28,6,14,2024,5,1,3,0
Beauty,368.59,2,Google Pay,Tablet,Email,2024,4,28,6,14,2024,5,3,5,0
Home,243.51,1,Debit Card,Desktop,Organic,2024,4,28,6,14,2024,4,30,2,1
Electronics,230.19,2,Credit Card,Desktop,Organic,2024,4,28,6,14,2024,4,30,2,1
Toys,375.22,2,Google Pay,Tablet,Social,2024,4,28,6,14,2024,5,5,7,0
Home,385.79,2,Apple Pay,Mobile,Paid Search,2024,4,28,6,14,2024,5,5,7,0
Toys,435.55,5,PayPal,Desktop,Organic,2024,4,28,6,14,2024,4,29,1,1
Home,227.06,2,Debit Card,Mobile,Paid Search,2024,4,28,6,14,2024,5,3,5,0
Books,261.45,1,Google Pay,Desktop,Organic,2024,4,28,6,14,2024,5,5,7,0
Clothing,58.4,3,PayPal,Tablet,Social,2024,4,28,6,14,2024,4,29,1,1
Clothing,315.99,3,Google Pay,Tablet,Paid Search,2024,4,28,6,14,2024,4,30,2,1
Toys,466.18,4,Credit Card,Mobile,Paid Search,2024,4,28,6,14,2024,4,30,2,1
Clothing,364.29,1,Google Pay,Desktop,Email,2024,4,28,6,14,2024,4,29,1,1
Electronics,216.72,5,Apple Pay,Desktop,Organic,2024,4,28,6,14,2024,5,1,3,0
Beauty,62.75,2,Apple Pay,Mobile,Social,2024,4,29,0,14,2024,5,2,3,0
Beauty,462.46,3,Apple Pay,Tablet,Social,2024,4,29,0,14,2024,5,1,2,0
Electronics,444.69,2,Debit Card,Desktop,Email,2024,4,29,0,14,2024,5,2,3,0
Home,413.93,2,Google Pay,Tablet,Organic,2024,4,29,0,14,2024,5,5,6,0
Clothing,102.4,1,Apple Pay,Tablet,Email,2024,4,29,0,14,2024,5,1,2,0
Home,391.78,3,Google Pay,Desktop,Paid Search,2024,4,29,0,14,2024,5,6,7,0
Beauty,321.53,2,Apple Pay,Tablet,Paid Search,2024,4,29,0,14,2024,5,4,5,0
Electronics,343.45,2,Apple Pay,Tablet,Paid Search,2024,4,29,0,14,2024,5,6,7,0
Toys,105.56,4,Google Pay,Tablet,Social,2024,4,29,0,14,2024,5,6,7,0
Toys,255.69,1,Google Pay,Mobile,Email,2024,4,29,0,14,2024,5,5,6,0
